# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0905	(((154.33883 -3.5414668 0) (0 0 0)) ((0.17707334 7.7169413 1.3904828e-08) (0 0 0)))
0.091	(((154.33863 -3.5478593 0) (0 0 0)) ((0.17739297 7.7169317 1.3899165e-08) (0 0 0)))
0.0915	(((154.33837 -3.5551974 0) (0 0 0)) ((0.17775987 7.7169187 1.3893442e-08) (0 0 0)))
0.092	(((154.33821 -3.5629468 0) (0 0 0)) ((0.17814734 7.7169107 1.3888436e-08) (0 0 0)))
0.0925	(((154.33802 -3.5703817 0) (0 0 0)) ((0.17851909 7.7169012 1.3884468e-08) (0 0 0)))
0.093	(((154.33794 -3.5766757 0) (0 0 0)) ((0.17883379 7.7168972 1.388169e-08) (0 0 0)))
0.0935	(((154.3379 -3.5815962 0) (0 0 0)) ((0.17907981 7.716895 1.38804e-08) (0 0 0)))
0.094	(((154.33799 -3.5847921 0) (0 0 0)) ((0.1792396 7.7168996 1.388064e-08) (0 0 0)))
0.0945	(((154.3381 -3.5860939 0) (0 0 0)) ((0.1793047 7.7169049 1.3882271e-08) (0 0 0)))
0.095	(((154.33825 -3.585409 0) (0 0 0)) ((0.17927045 7.7169124 1.3885166e-08) (0 0 0)))
0.0955	(((154.33839 -3.5828728 0) (0 0 0)) ((0.17914364 7.7169196 1.3889058e-08) (0 0 0)))
0.096	(((154.33858 -3.5787549 0) (0 0 0)) ((0.17893775 7.716929 1.3893578e-08) (0 0 0)))
0.0965	(((154.33869 -3.5735338 0) (0 0 0)) ((0.17867669 7.7169347 1.3898477e-08) (0 0 0)))
0.097	(((154.33878 -3.5673986 0) (0 0 0)) ((0.17836993 7.7169392 1.3903055e-08) (0 0 0)))
0.0975	(((154.33883 -3.5610216 0) (0 0 0)) ((0.17805108 7.7169413 1.3907003e-08) (0 0 0)))
0.098	(((154.33884 -3.5549122 0) (0 0 0)) ((0.17774561 7.7169421 1.3910194e-08) (0 0 0)))
0.0985	(((154.33886 -3.5495395 0) (0 0 0)) ((0.17747697 7.7169428 1.3912356e-08) (0 0 0)))
0.099	(((154.33887 -3.5455689 0) (0 0 0)) ((0.17727845 7.7169433 1.3913451e-08) (0 0 0)))
0.0995	(((154.33889 -3.5429942 0) (0 0 0)) ((0.17714971 7.7169443 1.3913279e-08) (0 0 0)))
