# Time	forces(pressure, viscous) moment(pressure, viscous)
0.0675	(((305.42797 -134.82749 0) (4.25556 -1.1734675 -2.2929019e-17)) ((6.7413744 15.271399 -5.1035575e-08) (0.058673374 0.212778 -0.029644614)))
0.068	(((316.61698 -125.72684 0) (4.3331779 -1.2331752 -2.4766424e-17)) ((6.2863418 15.830849 -6.013996e-08) (0.061658761 0.21665889 -0.034350295)))
0.0685	(((324.3535 -104.285 0) (4.4084359 -1.1896763 -2.6907331e-17)) ((5.2142499 16.217675 -6.275141e-08) (0.059483815 0.2204218 -0.035961854)))
0.069	(((326.89377 -72.549934 0) (4.4639375 -1.032471 -2.7593507e-17)) ((3.6274967 16.344688 -5.5246793e-08) (0.051623552 0.22319688 -0.033469826)))
0.0695	(((325.08671 -31.224903 0) (4.4927873 -0.75896024 -2.7814119e-17)) ((1.5612452 16.254335 -5.2035015e-08) (0.037948012 0.22463936 -0.026239344)))
0.07	(((321.53997 17.997914 0) (4.5021539 -0.38666792 -2.7808104e-17)) ((-0.89989568 16.076998 -5.0226563e-08) (0.019333396 0.2251077 -0.015155216)))
0.0705	(((318.22126 70.709314 0) (4.5034472 0.056107492 -2.8292606e-17)) ((-3.5354657 15.911063 -2.8922917e-08) (-0.0028053746 0.22517236 -0.0015729842)))
0.071	(((317.63904 121.83254 0) (4.5106983 0.52925881 -2.742566e-17)) ((-6.091627 15.881952 -8.2909528e-09) (-0.026462941 0.22553491 0.012354579)))
0.0715	(((323.09719 167.32176 0) (4.5352788 0.99274354 -2.5681094e-17)) ((-8.3660878 16.15486 3.1902662e-09) (-0.049637177 0.22676394 0.025591865)))
0.072	(((335.53909 200.45467 0) (4.5897248 1.4039134 -2.4069442e-17)) ((-10.022733 16.776954 1.4896869e-08) (-0.070195668 0.22948624 0.038436025)))
0.0725	(((353.22236 216.50827 0) (4.66812 1.7074882 -2.4764124e-17)) ((-10.825414 17.661118 3.6779645e-08) (-0.085374411 0.233406 0.047624627)))
0.073	(((371.68061 212.78572 0) (4.7701821 1.8764079 -2.49521e-17)) ((-10.639286 18.584031 6.018485e-08) (-0.093820393 0.2385091 0.054314073)))
0.0735	(((386.63447 188.0939 0) (4.8732655 1.8783534 -2.2914836e-17)) ((-9.404695 19.331724 6.9251063e-08) (-0.09391767 0.24366327 0.056487388)))
0.074	(((393.85177 145.58439 0) (4.9501506 1.6990559 -1.6503447e-17)) ((-7.2792194 19.692589 7.7288847e-08) (-0.084952794 0.24750753 0.052573109)))
0.0745	(((393.51443 87.712938 0) (5.0072083 1.3428456 -1.5293365e-17)) ((-4.3856469 19.675722 7.4583589e-08) (-0.067142279 0.25036042 0.041790995)))
0.075	(((385.88702 18.014138 0) (5.0334636 0.84119906 -1.5286587e-17)) ((-0.90070691 19.294351 8.0906863e-08) (-0.042059953 0.25167318 0.026132321)))
0.0755	(((371.25786 -56.76221 0) (5.020561 0.24892377 -1.5230733e-17)) ((2.8381105 18.562893 8.9595651e-08) (-0.012446188 0.25102805 0.0086132645)))
0.076	(((353.63392 -130.17536 0) (4.9765733 -0.40566941 -1.7107805e-17)) ((6.508768 17.681696 6.3108527e-08) (0.02028347 0.24882867 -0.012598777)))
0.0765	(((342.67978 -194.38514 0) (4.9330794 -1.0462436 -2.0035788e-17)) ((9.7192569 17.133989 2.2914469e-08) (0.052312181 0.24665397 -0.032164163)))
